순위,키워드,빈도수
1,미세먼지,2582
2,대법원장,2453
3,청와대,1936
4,피해자,1672
5,대통령,1623
6,대법원,1458
7,양승태,1304
8,서비스,1295
9,장애인,1283
10,재판부,1230
11,프로그램,1169
12,성폭행,1147
13,위원회,1113
14,변호사,1097
15,교육부,1040
16,노동자,1022
17,일자리,995
18,공무원,968
19,성폭력,962
20,최저임금,876
21,청소년,866
22,근로자,822
23,환경부,810
24,사무관,784
25,위원장,758
26,대법관,754
27,이사장,743
28,수사관,723
29,구속영장,695
30,신재민,689
31,음주운전,680
32,서울시,638
33,유치원,636
34,아파트,630
35,직원들,619
36,성추행,618
37,항소심,610
38,경기도,607
39,6개월,581
40,피의자,577
41,국민은행,557
42,한국당,555
43,조재범,551
44,부장판사,548
45,기자회견,545
46,아이들,540
47,피고인,534
48,심석희,534
49,학부모,526
50,손혜원,526
51,JTBC,518
52,사법부,502
53,초미세먼지,499
54,부동산,480
55,지자체,475
56,이야기,463
57,민주노총,445
58,드라마,445
59,총파업,426
60,사업장,419
61,수도권,418
62,김태우,410
63,사람들,409
64,원내대표,403
65,교육감,401
66,개정안,392
67,초등학교,391
68,가해자,390
69,비정규직,388
70,손석희,388
71,교육청,384
72,대상자,383
73,아버지,383
74,자유한국당,381
75,전문가,377
76,기재부,377
77,어머니,376
78,보건소,369
79,본부장,369
80,정규직,368
81,합격자,365
82,안락사,365
83,주민들,346
84,운전자,343
85,SKY,337
86,압수수색,336
87,경사노위,334
88,경찰관,333
89,변호인,323
90,법원행정처,321
91,집행유예,320
92,학년도,314
93,고등학교,311
94,조합원,308
95,중학교,307
96,과태료,304
97,기상청,303
98,외국인,297
99,드루킹,295
100,국회의원,295
101,김경수,294
102,피해자들,290
103,어린이,289
104,어린이집,282
105,김용균,281
106,체육계,280
107,의료기관,278
108,금감원,274
109,서울대,272
110,장학금,272
111,임세원,268
112,용의자,267
113,신입생,265
114,부총리,262
115,법무부,262
116,수급자,260
117,노동계,260
118,시민들,256
119,공공기관,255
120,비상저감,255
121,문재인,253
122,보험료,253
123,예방접종,251
124,겨울철,251
125,민간인,250
126,간호사,247
127,신생아,246
128,국정원,243
129,지난달,243
130,자동차,243
131,민주당,241
132,중소기업,239
133,의료진,239
134,강수량,234
135,보고서,230
136,우리나라,227
137,고아라,226
138,인터뷰,224
139,폐기물,223
140,할머니,221
141,농업인,221
142,문화재,221
143,바이러스,219
144,블랙리스트,215
145,교통사고,215
146,버닝썬,214
147,제주도,214
148,부작용,214
149,대표이사,212
150,생중계,212
151,전두환,211
152,한국노총,209
153,여성들,209
154,사업자,208
155,대기업,207
156,구제역,206
157,성희롱,203
158,대학생,202
159,주의보,202
160,승용차,201
161,간담회,200
162,미세먼지_농도,200
163,마스크,197
164,공정위,196
165,암사역,196
166,파인텍,195
167,3개월,194
168,스트레스,194
169,서영교,194
170,스포츠,193
171,편의점,193
172,국토부,192
173,경찰청,192
174,포인트,190
175,보조금,189
176,사립유치원,189
177,캠페인,188
178,수수료,188
179,화장실,188
180,응급실,186
181,토론회,186
182,행정관,186
183,광주시,185
184,유튜브,185
185,저출산,184
186,CCTV,182
187,국민연금,181
188,디지털,181
189,목소리,180
190,구청장,179
191,활성화,179
192,스스로,178
193,RSV,178
194,어르신,178
195,휴대전화,177
196,학부모들,177
197,지하철,177
198,설명회,175
199,강제징용,175
200,강북삼성병원,174
