순위,키워드,빈도수
1,미세먼지,1680
2,버닝썬,1435
3,재판부,1365
4,피해자,1335
5,장애인,1187
6,서비스,1176
7,대법원,1158
8,대통령,1153
9,프로그램,1104
10,청와대,1096
11,환경부,1066
12,위원회,938
13,교육부,872
14,노동자,814
15,변호사,790
16,근로자,776
17,유치원,738
18,대법원장,728
19,공무원,697
20,일자리,692
21,아파트,681
22,이사장,650
23,6개월,601
24,위원장,572
25,청소년,550
26,성폭행,542
27,경찰관,519
28,음주운전,504
29,서울시,497
30,성폭력,493
31,학부모,463
32,한국당,457
33,항소심,440
34,사립유치원,436
35,장학금,434
36,성추행,428
37,에듀파인,418
38,아이들,414
39,고아라,413
40,최저임금,411
41,블랙리스트,406
42,센터장,397
43,사업장,391
44,자유한국당,385
45,피고인,372
46,한유총,370
47,양승태,368
48,운전자,365
49,어머니,365
50,수사관,364
51,집행유예,363
52,압수수색,363
53,김용균,363
54,지난달,362
55,서울대,349
56,지자체,346
57,직원들,345
58,이야기,344
59,공공기관,340
60,가해자,339
61,초등학교,338
62,수도권,336
63,경기도,331
64,3개월,331
65,조합원,327
66,안희정,321
67,법무부,316
68,어린이집,313
69,개정안,306
70,교육감,306
71,부장판사,305
72,주민들,298
73,외국인,282
74,기상청,281
75,통상임금,279
76,대법관,278
77,교육청,277
78,어린이,276
79,부동산,276
80,초미세먼지,275
81,자동차,274
82,65세,272
83,사법부,271
84,4대강,271
85,사람들,267
86,부사장,266
87,대상자,265
88,아버지,262
89,폐기물,262
90,졸업식,262
91,고등학교,260
92,정규직,256
93,JTBC,249
94,경사노위,247
95,교통사고,244
96,합격자,236
97,기아차,234
98,민주노총,234
99,신입생,229
100,보조금,228
101,문재인,228
102,비정규직,227
103,현대중공업,227
104,제주도,226
105,드라마,226
106,성매매,223
107,강수량,220
108,국회의원,220
109,대우조선,219
110,고속도로,218
111,비상저감,217
112,승용차,217
113,전문가,215
114,간담회,215
115,택시기사,215
116,대학생,214
117,보험료,214
118,교육과정,211
119,과태료,209
120,보건소,205
121,변호인,201
122,간호사,200
123,60세,200
124,원내대표,198
125,스트레스,195
126,우리나라,195
127,의료진,192
128,드루킹,189
129,손석희,188
130,보고서,186
131,공정위,184
132,자치경찰제,184
133,쓰레기,183
134,여성들,183
135,특별법,182
136,포인트,181
137,학년도,177
138,CCTV,176
139,마지막,175
140,시민들,174
141,어려움,173
142,SNS,172
143,할머니,171
144,조합장,171
145,중학교,171
146,김경수,171
147,동영상,170
148,채용비리,168
149,협의회,167
150,프리랜서,167
151,의약품,167
152,영산강,167
153,윤한덕,166
154,도서관,165
155,수사권,164
156,신생아,164
157,국토부,162
158,캠페인,161
159,금감원,161
160,소방당국,161
161,편의점,161
162,김태우,160
163,세월호,159
164,농업인,158
165,사우나,157
166,법원행정처,157
167,국정원,156
168,불구속,155
169,피의자,155
170,사업체,154
171,김진태,154
172,인천시,153
173,민주당,153
174,이사회,152
175,본부장,152
176,성접대,151
177,경찰청,151
178,구제역,150
179,자격증,150
180,성희롱,149
181,복지부,149
182,윤창호,148
183,지역사회,148
184,미성년자,148
185,신의칙,147
186,부산시,147
187,독립운동,146
188,손해배상,146
189,자치경찰,145
190,명예훼손,145
191,설명회,144
192,노동계,143
193,졸업생,142
194,어르신,141
195,대한민국,140
196,인터뷰,140
197,주차장,140
198,학부모들,138
199,저출산,138
200,부회장,137
