순위,키워드,빈도수
1,대통령,12254
2,청와대,6350
3,위원장,4779
4,트럼프,3500
5,민주당,3206
6,한국당,3122
7,트럼프_대통령,2235
8,정상회담,2228
9,비핵화,2148
10,원내대표,2020
11,문재인,2019
12,김정은,1916
13,손혜원,1470
14,자유한국당,1313
15,한반도,1180
16,대변인,1147
17,위원회,1086
18,국회의원,1038
19,신재민,990
20,사무관,954
21,비서실장,940
22,부위원장,928
23,바른미래당,835
24,기자회견,809
25,더불어민주당,792
26,황교안,785
27,폼페이오,742
28,신년사,741
29,전당대회,721
30,북미정상회담,710
31,부동산,658
32,문재인_대통령,611
33,수사관,608
34,기업인,604
35,김영철,596
36,일자리,586
37,간담회,557
38,의원들,556
39,베이징,554
40,백악관,550
41,김태우,537
42,워싱턴,535
43,부총리,530
44,셧다운,508
45,대기업,494
46,행정관,481
47,미사일,481
48,지역구,476
49,지지율,465
50,국방부,454
51,노영민,447
52,기재부,441
53,이사장,434
54,보좌관,420
55,국민들,396
56,베트남,391
57,홍준표,391
58,변호사,388
59,후보자,385
60,개성공단,382
61,최저임금,381
62,스웨덴,380
63,박근혜,379
64,외교부,377
65,미세먼지,376
66,공무원,375
67,나경원,373
68,피해자,369
69,문화재,362
70,2차_북미정상회담,360
71,대한민국,356
72,러시아,356
73,최고위원,349
74,이야기,348
75,시진핑,347
76,통일부,346
77,손혜원_의원,336
78,정의당,329
79,정치권,322
80,김경수,320
81,청문회,320
82,집무실,317
83,김정은_위원장,313
84,위안부,313
85,부회장,312
86,당대표,308
87,핵무기,308
88,비례대표제,304
89,할머니,297
90,민주노총,296
91,개정안,291
92,서영교,288
93,고위급,282
94,보고서,281
95,조합장,273
96,탈원전,273
97,경사노위,272
98,문재인_정부,272
99,펠로시,271
100,상임위,270
101,광화문,268
102,재판부,266
103,오세훈,261
104,조해주,257
105,대법원장,257
106,폼페이오_장관,257
107,방위비,255
108,유시민,255
109,국정원,251
110,선거제도,251
111,선관위,247
112,중소기업,246
113,초계기,245
114,구청장,245
115,목소리,244
116,임시국회,238
117,지도부,236
118,연동형_비례대표제,235
119,페이스북,234
120,박지원,234
121,이해찬,233
122,소식통,233
123,대법원,231
124,성폭력,229
125,민간인,228
126,분담금,228
127,국무부,227
128,주한미군,225
129,분위기,224
130,포인트,221
131,부의장,219
132,김병준,217
133,정무수석,214
134,유튜브,213
135,국무총리,212
136,베네수엘라,211
137,사람들,209
138,임종석,208
139,이탈리아,207
140,인터뷰,205
141,무소속,204
142,사법부,200
143,연방정부,199
144,정치인,198
145,주민들,197
146,노동계,196
147,김복동,196
148,국민연금,195
149,정개특위,195
150,신한울,194
151,ICBM,192
152,구체적,191
153,드루킹,188
154,마두로,187
155,2차_정상회담,185
156,활성화,184
157,에너지,183
158,전두환,182
159,당협위원장,182
160,금강산,182
161,혁신성장,182
162,실무협상,180
163,국정조사,179
164,보이콧,178
165,소상공인,175
166,양승태,174
167,2차_북미,174
168,토론회,172
169,체육계,172
170,대북제재,170
171,특감반,168
172,조직위원장,167
173,오디션,167
174,경제정책,167
175,항소심,165
176,행정부,165
177,책임당원,163
178,전문가,163
179,서울시,163
180,참모진,162
181,6개월,162
182,국회의장,160
183,홍영표,159
184,국제사회,159
185,레이더,157
186,사실상,155
187,신년_기자회견,153
188,의원정수,152
189,여론조사,150
190,공명선거,149
191,시리아,149
192,리얼미터,148
193,최선희,147
194,공직자,147
195,비례대표,147
196,민주평화당,145
197,공정경제,145
198,홍남기,144
199,불출마,142
200,비대위,142
