순위,키워드,빈도수
1,대통령,11681
2,청와대,4070
3,트럼프,3968
4,위원장,3660
5,한국당,3441
6,민주당,3293
7,원내대표,2907
8,비핵화,2893
9,트럼프_대통령,2560
10,후보자,2241
11,정상회담,2077
12,김정은,1913
13,하노이,1896
14,미세먼지,1837
15,문재인,1683
16,대변인,1602
17,자유한국당,1395
18,바른미래당,1313
19,미사일,1265
20,한반도,1236
21,패스트,1102
22,위원회,1086
23,조합장,1034
24,정의당,966
25,황교안,932
26,나경원,848
27,의원들,840
28,국회의원,831
29,패스트트랙,808
30,베트남,785
31,청문회,785
32,러시아,778
33,보고서,691
34,통일부,681
35,더불어민주당,663
36,폼페이오,656
37,지역구,650
38,동창리,617
39,장관_후보자,608
40,조합원,597
41,외교부,571
42,개정안,556
43,말레이시아,547
44,부동산,523
45,보좌관,519
46,핵시설,518
47,발사장,517
48,문재인_대통령,516
49,박영선,514
50,사무소,504
51,전두환,489
52,김학의,477
53,법무부,468
54,북미정상회담,468
55,여야_4당,465
56,대북제재,458
57,박근혜,458
58,선거법,448
59,대한민국,442
60,지지율,441
61,환경부,434
62,비례대표,430
63,단일화,423
64,공수처,419
65,이야기,402
66,국방부,402
67,비례대표제,379
68,아세안,375
69,백악관,374
70,인사청문회,367
71,재판부,365
72,국무부,363
73,캄보디아,356
74,기자회견,353
75,개성공단,351
76,부총리,345
77,보궐선거,339
78,브루나이,336
79,본회의,331
80,반기문,330
81,문재인_정부,324
82,국민들,323
83,유치원,314
84,연락사무소,313
85,김연철,313
86,일자리,311
87,수석대변인,306
88,선거제도,304
89,움직임,296
90,창원성산,296
91,지도부,291
92,볼턴_보좌관,287
93,워싱턴,286
94,정치권,280
95,하노이_회담,275
96,이해찬,274
97,한유총,273
98,선거구,272
99,금강산,266
100,이사장,260
101,김의겸,259
102,지난달,258
103,폼페이오_장관,254
104,전문가,251
105,변호사,247
106,본부장,244
107,최선희,244
108,교섭단체,240
109,대사관,240
110,아파트,239
111,김정은_위원장,232
112,포인트,231
113,베이징,230
114,영변_핵시설,230
115,정상화,226
116,이명박,225
117,최고위원,224
118,경사노위,220
119,선거운동,218
120,당국자,217
121,당선자,216
122,홍영표,214
123,핵무기,207
124,선관위,206
125,협의회,204
126,여론조사,203
127,스페인,202
128,행정부,201
129,국정원,199
130,인터뷰,199
131,선거제_개혁,197
132,대의원,197
133,연동형_비례대표제,196
134,민주평화당,196
135,윤리위,196
136,메시지,196
137,안보리,195
138,외무상,193
139,재무부,193
140,최고인민회의,192
141,교육부,192
142,목소리,190
143,공직자,189
144,토론회,186
145,특별법,186
146,공무원,186
147,동창리_미사일,185
148,항소심,184
149,간담회,183
150,분위기,182
151,여영국,178
152,조동호,176
153,곽상도,176
154,개편안,176
155,블랙리스트,176
156,이낙연,172
157,중소기업,172
158,조례안,169
159,국토부,167
160,2차장,166
161,키리졸브,166
162,대북_제재,165
163,천안함,165
164,김관영,165
165,동영상,165
166,사람들,162
167,정치인,162
168,결의안,161
169,수사권,161
170,2차_북미정상회담,159
171,최저임금,156
172,재개발,155
173,민중당,155
174,임시국회,153
175,사실상,153
176,독수리,151
177,NSC,151
178,개혁안,151
179,조합원들,150
180,소식통,149
181,남북관계,146
182,기재부,144
183,리얼미터,143
184,공화당,142
185,의석수,141
186,이언주,140
187,트위터,139
188,주민들,139
189,벨기에,138
190,중재자,138
191,대표연설,137
192,드루킹,137
193,투표율,137
194,위안부,137
195,우라늄,137
196,합의안,136
197,경호원,136
198,탈원전,134
199,황교안_대표,134
200,징계안,133
