순위,키워드,빈도수
1,거래량,6735
2,1개월,5047
3,외국인,4497
4,서비스,4081
5,글로벌,3412
6,브랜드,2938
7,중소기업,2446
8,아파트,2375
9,일자리,2198
10,포인트,2031
11,자동차,1963
12,소비자,1954
13,이벤트,1900
14,반도체,1883
15,삼성전자,1626
16,실거래가,1595
17,중위거래,1503
18,수익률,1352
19,부동산,1349
20,1분기,1313
21,서울특별시,1258
22,에너지,1236
23,연구원,1214
24,증권사,1207
25,디자인,1172
26,프로그램,1166
27,순매도,1147
28,fnRASSI,1145
29,6개월,1138
30,스타트업,1135
31,플랫폼,1134
32,코스피,1120
33,지난달,1108
34,목표주가,1105
35,투자의견,1075
36,경기도,1049
37,매매동향,1041
38,2분기,1040
39,베트남,1020
40,스톡봇,1007
41,제조업,966
42,매출액,960
43,트럼프,938
44,현대차,924
45,경쟁력,923
46,영업이익,921
47,거래비중,894
48,리포트,885
49,대통령,875
50,스마트,859
51,활성화,857
52,화웨이,855
53,전기차,846
54,코스닥,843
55,동종목,819
56,스마트폰,796
57,친환경,790
58,변동성,785
59,상승세,779
60,기아차,770
61,부회장,769
62,G20,767
63,매물대,767
64,이평선,756
65,프리미엄,754
66,디지털,748
67,투자자,746
68,프로젝트,743
69,간담회,725
70,서울시,723
71,데이터,719
72,대기업,717
73,모바일,705
74,바이오,690
75,SUV,686
76,캠페인,675
77,화장품,671
78,재건축,666
79,배터리,663
80,LG전자,649
81,BUY,632
82,컨센서스,629
83,수수료,614
84,동기간,602
85,거래소,598
86,가맹점,594
87,PBR,587
88,사업자,573
89,계열사,573
90,마케팅,573
91,소상공인,567
92,박람회,564
93,정배열,557
94,무역전쟁,554
95,상반기,550
96,씽크풀,548
97,무역분쟁,546
98,CEO,540
99,기업들,537
100,우리나라,537
101,신제품,521
102,분양가,518
103,보고서,518
104,금리인하,512
105,신도시,511
106,이마트,492
107,기준금리,491
108,판매량,491
109,근로자,490
110,솔루션,488
111,전문가,480
112,콘텐츠,477
113,코리아,474
114,대표이사,468
115,위원회,468
116,소비자들,465
117,핀테크,463
118,4분기,459
119,금리_인하,454
120,한진칼,434
121,인프라,434
122,SK하이닉스,429
123,점유율,428
124,2019년,427
125,청년들,417
126,수도권,415
127,비즈니스,411
128,성장률,410
129,대한항공,405
130,사회적,404
131,부총리,403
132,농산물,400
133,대한민국,400
134,금감원,400
135,프로모션,397
136,협력사,393
137,포스코,393
138,투자자들,391
139,현주가,387
140,편의점,385
141,미세먼지,380
142,보험료,378
143,컨설팅,376
144,설명회,375
145,전기요금,375
146,의약품,373
147,임직원,372
148,패키지,372
149,3개월,369
150,디스플레이,369
151,3분기,368
152,누진제,365
153,공공기관,362
154,대량_매수,361
155,금융위,360
156,자회사,360
157,사업장,356
158,오피스텔,356
159,순매매량,354
160,고객들,353
161,빅데이터,352
162,구직자,350
163,업무협약,348
164,블록체인,348
165,하락세,348
166,플라스틱,341
167,한진그룹,340
168,재개발,340
169,보험사,339
170,여름철,332
171,트럼프_대통령,332
172,LG화학,332
173,지자체,327
174,항공기,326
175,SK텔레콤,325
176,세미나,323
177,사우디,319
178,1순위,316
179,롯데백화점,316
180,냉장고,314
181,10년,313
182,면세점,311
183,클라우드,311
184,개정안,309
185,맞춤형,309
186,네트워크,309
187,매수우위,309
188,백화점,307
189,MOU,306
190,카카오,305
191,국토부,305
192,안정성,305
193,최저임금,305
194,취업자,304
195,생태계,303
196,역배열,301
197,수익성,299
198,기대감,298
199,대학생,298
200,서비스업,298
