순위,키워드,빈도수
1,거래량,7016
2,1개월,5568
3,1분기,5339
4,서비스,4619
5,영업이익,4510
6,브랜드,4113
7,외국인,3982
8,글로벌,3636
9,매출액,3124
10,아파트,2726
11,목표주가,2613
12,전년_동기,2447
13,반도체,2374
14,4분기,2364
15,중소기업,2259
16,포인트,2230
17,삼성전자,2152
18,일자리,2092
19,자동차,2088
20,이벤트,1975
21,투자의견,1974
22,소비자,1956
23,동종목,1724
24,아시아나항공,1689
25,부동산,1660
26,수익률,1572
27,순매도,1538
28,컨센서스,1508
29,BUY,1481
30,리포트,1467
31,씽크풀,1428
32,연구원,1414
33,2분기,1399
34,디자인,1358
35,코스피,1339
36,순이익,1332
37,대한항공,1321
38,스톡봇,1308
39,에너지,1307
40,프로그램,1295
41,fnRASSI,1264
42,현대차,1259
43,경쟁력,1183
44,전년대비,1137
45,경기도,1134
46,플랫폼,1114
47,스마트폰,1087
48,미세먼지,1069
49,베트남,1027
50,스마트,1017
51,전기차,1002
52,스타트업,976
53,한진그룹,973
54,상승세,942
55,LG전자,939
56,성장률,937
57,지난달,937
58,활성화,906
59,프리미엄,905
60,변동성,888
61,디지털,869
62,데이터,861
63,매물대,858
64,코스닥,845
65,거래비중,845
66,증권사,841
67,친환경,831
68,프로젝트,823
69,실거래가,789
70,이평선,779
71,수수료,777
72,조양호,759
73,기아차,752
74,6개월,748
75,투자자,727
76,PBR,717
77,모바일,714
78,마케팅,712
79,제조업,708
80,중위거래,707
81,채권단,705
82,서울시,694
83,가맹점,693
84,이마트,692
85,화장품,691
86,계열사,685
87,바이오,660
88,대기업,655
89,부회장,652
90,SUV,644
91,배터리,641
92,신제품,637
93,재건축,623
94,디스플레이,620
95,CEO,617
96,정배열,611
97,콘텐츠,603
98,솔루션,597
99,SK하이닉스,596
100,근로자,595
101,갤럭시,587
102,사업자,586
103,코리아,586
104,동기간,583
105,소상공인,581
106,대표이사,577
107,금감원,565
108,전망치,560
109,거래소,556
110,간담회,554
111,캠페인,551
112,전문가,550
113,우리나라,548
114,수익성,546
115,자회사,545
116,보고서,544
117,보험료,542
118,대통령,536
119,박람회,531
120,메모리,529
121,패키지,521
122,한진칼,519
123,프로모션,501
124,전체적,501
125,상반기,493
126,판매량,485
127,임직원,477
128,기업들,474
129,서울특별시,473
130,SK텔레콤,472
131,위원회,462
132,수도권,459
133,농산물,457
134,설명회,451
135,분양가,448
136,투자자들,442
137,부총리,441
138,국토부,432
139,가입자,428
140,청년들,427
141,금호산업,424
142,백화점,424
143,블록체인,424
144,공시가격,423
145,본부장,422
146,3개월,420
147,클라우드,417
148,고객들,411
149,소비자들,409
150,핀테크,409
151,2018년,409
152,지자체,407
153,공기청정기,406
154,인프라,406
155,금융위,405
156,컨설팅,404
157,S10,401
158,비즈니스,400
159,부사장,394
160,LG화학,391
161,전년_대비,391
162,빅데이터,386
163,아시아,385
164,KB증권,384
165,롯데백화점,384
166,LG유플러스,383
167,경영권,380
168,스포츠,377
169,우리은행,371
170,사회적,370
171,1순위,370
172,금호아시아나그룹,369
173,3분기,365
174,OLED,364
175,편의점,362
176,공공기관,360
177,카메라,359
178,GDP,357
179,네트워크,357
180,트럼프,356
181,미래에셋대우,356
182,보험사,353
183,이란산,351
184,NH투자증권,350
185,기대감,350
186,업무협약,349
187,직원들,348
188,상한가,347
189,e2BOT,345
190,전시회,345
191,e2bot,345
192,리스크,344
193,요금제,341
194,취업자,339
195,오피스텔,337
196,국민연금,336
197,대한민국,336
198,무역협상,335
199,MOU,334
200,시리즈,333
