순위,키워드,빈도수
1,거래량,6950
2,1개월,5513
3,서비스,4043
4,브랜드,3995
5,외국인,3785
6,글로벌,3532
7,아파트,2940
8,일자리,2387
9,중소기업,2297
10,포인트,2239
11,자동차,2115
12,미세먼지,2032
13,부동산,2029
14,현대차,1985
15,반도체,1786
16,영업이익,1786
17,소비자,1784
18,이벤트,1730
19,삼성전자,1710
20,4분기,1695
21,디자인,1683
22,매출액,1542
23,순매도,1525
24,수익률,1379
25,프로그램,1351
26,연구원,1350
27,대한항공,1282
28,대표이사,1271
29,fnRASSI,1223
30,전기차,1213
31,PBR,1171
32,전년_동기,1165
33,코스피,1156
34,스톡봇,1145
35,목표주가,1142
36,경쟁력,1120
37,플랫폼,1097
38,경기도,1096
39,에너지,1059
40,이평선,1027
41,국민연금,1010
42,스마트,980
43,프리미엄,949
44,가맹점,947
45,베트남,941
46,상승세,933
47,사외이사,931
48,1분기,929
49,LG전자,911
50,활성화,910
51,코스닥,907
52,부회장,903
53,서울시,898
54,수수료,890
55,기아차,879
56,지난달,870
57,변동성,861
58,거래비중,856
59,투자자,827
60,매물대,823
61,디지털,815
62,투자의견,815
63,사내이사,804
64,스마트폰,786
65,아시아나항공,773
66,공기청정기,767
67,스타트업,758
68,바이오,739
69,마케팅,725
70,화장품,717
71,이사회,715
72,신제품,709
73,소상공인,709
74,데이터,706
75,대기업,697
76,프로젝트,690
77,2018년,672
78,계열사,660
79,CEO,659
80,SK하이닉스,656
81,정배열,653
82,모바일,651
83,의결권,646
84,증권사,635
85,대통령,634
86,제조업,631
87,전년대비,626
88,순이익,625
89,전형적,622
90,SUV,621
91,수도권,619
92,쏘나타,584
93,근로자,577
94,패키지,576
95,위원회,575
96,재선임,570
97,이마트,567
98,솔루션,565
99,상반기,563
100,동종목,561
101,3개월,560
102,우리나라,556
103,간담회,555
104,S10,553
105,사업자,550
106,후보자,548
107,배터리,541
108,공시가격,540
109,조양호,537
110,카드사,537
111,친환경,527
112,박람회,525
113,콘텐츠,523
114,6개월,522
115,모터쇼,522
116,동기간,506
117,갤럭시,504
118,보험료,497
119,디스플레이,496
120,SK텔레콤,484
121,캠페인,478
122,판매량,478
123,금감원,477
124,본부장,475
125,거래소,474
126,무역협상,473
127,전문가,467
128,보고서,461
129,2분기,460
130,현대모비스,460
131,재건축,460
132,엘리엇,459
133,마스크,455
134,공동주택,450
135,소비자들,445
136,성장률,445
137,설명회,435
138,조합원,428
139,공공기관,424
140,아시아,423
141,BUY,423
142,기업들,418
143,국토부,416
144,클러스터,415
145,컨소시엄,413
146,역배열,410
147,LPG,407
148,청년들,406
149,투자자들,405
150,수수료율,402
151,전시회,399
152,코리아,399
153,주주총회,397
154,신형_쏘나타,395
155,프로모션,393
156,금융위,392
157,부사장,390
158,매수우위,388
159,전년_대비,387
160,편의점,386
161,협력사,384
162,인터넷,383
163,오피스텔,378
164,감사의견,376
165,한진칼,375
166,의약품,375
167,롯데백화점,373
168,트럼프,372
169,스포츠,372
170,농업인,370
171,임직원,368
172,홈플러스,368
173,공정위,366
174,인프라,365
175,태양광,362
176,블록체인,359
177,포스코,357
178,컨센서스,353
179,컨설팅,352
180,취업자,350
181,자영업자,344
182,금융당국,342
183,ICT,342
184,이사장,341
185,하락세,341
186,빅데이터,340
187,직원들,338
188,시리즈,338
189,백화점,338
190,농산물,337
191,상대적,336
192,고객들,336
193,주주들,336
194,리스크,335
195,리포트,334
196,카메라,333
197,항공기,333
198,현대차그룹,332
199,사회적,330
200,10년,330
