순위,키워드,빈도수
1,거래량,8179
2,1개월,6855
3,서비스,4629
4,글로벌,4283
5,영업이익,3970
6,외국인,3933
7,브랜드,3233
8,4분기,3116
9,목표주가,2753
10,중소기업,2688
11,반도체,2642
12,자동차,2598
13,일자리,2527
14,매출액,2519
15,삼성전자,2475
16,전년_동기,2311
17,포인트,2234
18,아파트,2142
19,투자의견,1963
20,부동산,1896
21,소비자,1777
22,이벤트,1737
23,동종목,1613
24,컨센서스,1609
25,연구원,1546
26,리포트,1545
27,현대차,1529
28,코스피,1523
29,씽크풀,1521
30,fnRASSI,1514
31,순매도,1499
32,BUY,1490
33,CES,1320
34,부회장,1299
35,경쟁력,1277
36,플랫폼,1263
37,수익률,1249
38,전기차,1215
39,디자인,1192
40,활성화,1153
41,디지털,1148
42,스마트폰,1135
43,LG전자,1135
44,PBR,1073
45,소상공인,1031
46,대통령,1029
47,프로그램,1006
48,선물세트,984
49,프리미엄,967
50,1분기,964
51,에너지,943
52,상승세,935
53,스마트,923
54,SK하이닉스,920
55,대기업,916
56,기아차,907
57,변동성,890
58,경기도,885
59,베트남,884
60,이평선,864
61,스톡봇,862
62,바이오,848
63,거래비중,846
64,CEO,842
65,수도권,832
66,SUV,832
67,공시가격,819
68,투자자,813
69,모바일,812
70,본부장,803
71,배터리,800
72,서울시,793
73,코스닥,786
74,프로젝트,785
75,미세먼지,783
76,2018년,763
77,제조업,755
78,매물대,753
79,스타트업,746
80,수수료,746
81,3분기,734
82,데이터,715
83,가맹점,709
84,사업자,685
85,전통시장,684
86,국민연금,683
87,전년_대비,678
88,상반기,672
89,이마트,665
90,증권사,665
91,근로자,664
92,콘텐츠,659
93,최저임금,657
94,화장품,649
95,간담회,646
96,정배열,646
97,계열사,639
98,친환경,630
99,신제품,627
100,성장률,626
101,판매량,625
102,상품권,611
103,설명회,610
104,마케팅,607
105,자율주행,605
106,거래소,604
107,6개월,603
108,솔루션,597
109,금감원,587
110,전형적,587
111,전체적,562
112,우리은행,561
113,디스플레이,559
114,수익성,558
115,위원회,557
116,농업인,556
117,임직원,551
118,대한항공,548
119,편의점,547
120,농산물,534
121,리스크,533
122,보고서,529
123,시무식,524
124,전망치,518
125,블록체인,508
126,대표이사,501
127,보험료,500
128,무역협상,497
129,SK텔레콤,493
130,2019년,492
131,스포츠,486
132,재건축,484
133,단독주택,483
134,포스코,483
135,전문가,481
136,우리나라,479
137,직원들,470
138,공공기관,466
139,ICT,465
140,기업들,461
141,브렉시트,460
142,3개월,459
143,부총리,456
144,고객들,455
145,메모리,454
146,코리아,453
147,인공지능,451
148,프로모션,448
149,패키지,447
150,기대감,445
151,협력사,444
152,의약품,442
153,클러스터,437
154,캠페인,431
155,금융위,429
156,기업인,429
157,네이버,416
158,기준금리,413
159,현대중공업,412
160,OLED,411
161,인프라,405
162,이사장,403
163,국토부,401
164,상승률,401
165,수소차,397
166,인터넷,395
167,트렌드,394
168,소비자들,394
169,부사장,393
170,NH투자증권,392
171,모빌리티,392
172,트럼프,390
173,비즈니스,389
174,지난달,389
175,한진칼,382
176,운전자,379
177,자회사,374
178,미래에셋대우,373
179,신도시,371
180,YoY,371
181,가입자,369
182,셀트리온,368
183,아이폰,367
184,점유율,363
185,청와대,360
186,하락세,360
187,투자자들,357
188,KB증권,354
189,공정위,351
190,삼성증권,351
191,스타벅스,351
192,취업자,350
193,개정안,346
194,지자체,345
195,국민은행,343
196,미디어,342
197,주주권,342
198,e2BOT,339
199,e2bot,339
200,경쟁률,338
